RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
2181	110	743	896	0.692	0.212	691.671	4.854	0	677	1237	0.417	0.209	677.138	4.445	0	9	697	1065	 	 	 	 	 
2201	111	709	875	0.693	0.213	691.671	4.882	0	678	1236	0.418	0.209	677.138	4.434	0	9	697	1065	 	 	 	 	 
2221	112	724	879	0.694	0.214	689.099	4.896	0	678	1238	0.419	0.21	674.863	4.434	0	9	697	1065	 	 	 	 	 
2241	113	725	927	0.695	0.215	689.099	4.872	0	677	1237	0.419	0.211	674.863	4.538	0	9	697	1065	 	 	 	 	 
2261	114	712	902	0.695	0.216	689.098	4.912	0	677	1237	0.419	0.211	674.863	4.533	0	9	697	1065	 	 	 	 	 
2281	115	692	895	0.696	0.218	689.098	4.987	0	678	1238	0.42	0.212	674.863	4.506	0	9	697	1065	 	 	 	 	 
2301	116	596	1113	0.697	0.219	689.098	5.009	0	672	1233	0.42	0.213	674.862	4.604	0	 	 	 	 	 	 	 	 
2321	117	593	1111	0.698	0.219	682.827	5.014	0	672	1233	0.421	0.213	679.129	4.628	0	 	 	 	 	 	 	 	 
2340	118	589	1103	0.698	0.221	682.827	4.948	0	666	1225	0.421	0.215	679.129	4.639	0	 	 	 	 	 	 	 	 
2360	119	594	1105	0.699	0.223	682.827	4.992	0	619	838	0.421	0.216	679.128	4.675	0	10	612	970	 	 	 	 	 
2380	120	588	1103	0.699	0.224	682.827	5.032	0	636	813	0.421	0.218	679.129	4.63	0	10	612	970	 	 	 	 	 
2400	121	588	1103	0.699	0.226	682.827	5.057	0	644	834	0.421	0.219	679.129	4.704	0	10	612	970	 	 	 	 	 
2420	122	589	1103	0.7	0.227	681.885	5.092	0	635	829	0.421	0.22	671.887	4.668	0	10	612	970	 	 	 	 	 
2440	123	589	1108	0.7	0.228	681.885	5.083	0	639	848	0.421	0.221	671.887	4.644	0	10	612	970	 	 	 	 	 
2460	124	592	1106	0.7	0.23	681.885	5.093	0	634	849	0.421	0.222	671.887	4.639	0	10	612	970	 	 	 	 	 
2480	125	588	1107	0.7	0.23	681.885	5.104	0	632	848	0.421	0.223	671.887	4.67	0	10	612	970	 	 	 	 	 
2500	126	566	1125	0.702	0.234	681.883	5.23	0	531	952	0.423	0.226	671.886	4.982	0	 	 	 	 	 	 	 	 
2520	127	566	1127	0.704	0.239	672.738	5.182	0	525	974	0.428	0.231	654.882	4.892	0	 	 	 	 	 	 	 	 
2540	128	-16	1510	0.706	0.242	672.734	4.844	0	10	1568	0.429	0.233	654.877	4.555	0	 	 	 	 	 	 	 	 
2560	129	-2	1467	0.706	0.242	672.734	4.875	0	-46	1584	0.429	0.233	654.877	4.529	0	 	 	 	 	 	 	 	 
2580	130	4	1467	0.707	0.243	672.734	4.883	0	-43	1638	0.429	0.234	654.877	4.692	0	 	 	 	 	 	 	 	 
2600	131	-33	1450	0.707	0.243	672.733	4.792	0	-59	1642	0.429	0.234	654.877	4.626	0	 	 	 	 	 	 	 	 
2620	132	2	1414	0.707	0.243	657.857	4.702	0	-82	1664	0.429	0.235	650.103	4.627	0	 	 	 	 	 	 	 	 
2639	133	22	1441	0.708	0.244	657.857	4.67	0	-34	1658	0.429	0.235	650.104	4.631	0	 	 	 	 	 	 	 	 
2659	134	23	1461	0.708	0.245	657.857	4.745	0	2	1580	0.429	0.236	650.104	4.646	0	 	 	 	 	 	 	 	 
2679	135	10	1461	0.708	0.246	657.857	4.698	0	1	1616	0.429	0.237	650.104	4.586	0	 	 	 	 	 	 	 	 
2699	136	11	1440	0.709	0.247	657.857	4.74	0	15	1540	0.429	0.238	650.104	4.634	0	 	 	 	 	 	 	 	 
2719	137	10	1448	0.709	0.248	655.992	4.759	0	36	1502	0.429	0.239	649.638	4.623	0	 	 	 	 	 	 	 	 
2739	138	-16	1435	0.71	0.249	655.992	4.762	0	-56	1624	0.43	0.24	649.637	4.576	0	11	-47	1531	 	 	 	 	 
2759	139	-51	1492	0.71	0.25	655.991	4.725	0	-61	1612	0.431	0.241	649.637	4.537	0	11	-47	1531	 	 	 	 	 
2779	140	-59	1470	0.711	0.251	655.991	4.721	0	-45	1590	0.431	0.242	649.637	4.576	0	11	-47	1531	 	 	 	 	 
2799	141	-60	1461	0.711	0.252	655.991	4.727	0	-33	1575	0.431	0.242	649.638	4.609	0	11	-47	1531	 	 	 	 	 
2819	142	-65	1478	0.711	0.253	647.151	4.643	0	-24	1557	0.431	0.243	647.151	4.586	0	11	-47	1531	 	 	 	 	 
2839	143	-30	1463	0.712	0.253	647.151	4.666	0	-70	1600	0.432	0.243	647.151	4.536	0	11	-47	1531	 	 	 	 	 
2859	144	-39	1459	0.712	0.254	647.151	4.685	0	-70	1623	0.432	0.243	647.151	4.586	0	11	-47	1531	 	 	 	 	 
