RecordingTimestamp	GazePointIndex	GazePointX	GazePointY	DistanceLeft	DistanceRight	
2588	776	966	168	537.15	537.15	
2592	777	966	178	537.14	537.14	
2595	778	967	177	537.14	537.14	
2598	779	967	174	537.16	537.16	
2602	780	968	172	537.14	537.14	
2605	781	966	171	537.14	537.14	
2608	782	969	170	537.13	537.13	
2612	783	968	174	537.14	537.14	
2615	784	969	172	537.14	537.14	
2618	785	969	172	537.15	537.15	
2622	786	968	169	537.13	537.13	
2625	787	969	175	537.14	537.14	
2628	788	969	172	537.12	537.12	
2632	789	969	171	537.14	537.14	
2635	790	970	175	537.07	537.07	
2638	791	969	176	537.14	537.14	
2642	792	969	175	537.16	537.16	
2645	793	967	173	537.18	537.18	
2648	794	966	171	537.24	537.24	
2652	795	965	173	537.19	537.19	
2655	796	966	178	537.20	537.20	
2658	797	967	175	537.18	537.18	
2662	798	965	177	537.20	537.20	
2665	799	966	177	537.18	537.18	
2668	800	965	173	537.17	537.17	
2672	801	964	177	537.24	537.24	
2675	802	964	174	537.25	537.25	
2678	803	965	173	537.25	537.25	
2682	804	968	172	537.24	537.24	
2685	805	966	174	537.17	537.17	
2688	806	968	173	537.17	537.17	
2692	807	965	173	537.17	537.17	
2695	808	964	175	537.11	537.11	
2698	809	970	175	537.08	537.08	
2702	810	966	168	537.10	537.10	
2705	811	966	172	537.14	537.14	
2708	812	964	174	537.13	537.13	
2712	813	967	171	537.13	537.13	
2715	814	966	174	537.11	537.11	
2718	815	966	178	537.12	537.12	
2722	816	969	172	537.06	537.06	
2725	817	968	177	537.05	537.05	
2728	818	966	175	537.04	537.04	
2732	819	969	175	537.04	537.04	
2735	820	967	173	537.12	537.12	
2738	821	968	177	537.11	537.11	
2742	822	965	176	537.11	537.11	
2745	823	963	176	537.11	537.11	
2748	824	964	175	537.11	537.11	
2752	825	967	177	537.11	537.11	
2755	826	967	174	537.11	537.11	
2758	827	966	178	537.04	537.04	
2762	828	967	172	537.03	537.03	
2765	829	968	177	537.02	537.02	
2768	830	968	173	537.01	537.01	
2772	831	967	175	537.02	537.02	
2775	832	968	175	537.06	537.06	
2778	833	967	172	537.10	537.10	
2782	834	965	169	537.02	537.02	
2785	835	968	177	536.97	536.97	
2788	836	968	172	536.99	536.99	
2792	837	954	172	536.97	536.97	
2795	838	931	171	537.05	537.05	
2798	839	905	172	537.00	537.00	
2802	840	879	175	536.98	536.98	
2805	841	856	177	537.13	537.13	
2808	842	845	179	536.93	536.93	
2812	843	830	178	537.07	537.07	
2815	844	821	176	537.11	537.11	
2818	845	816	184	537.09	537.09	
2822	846	816	181	537.02	537.02	
2825	847	816	183	537.09	537.09	
2828	848	817	181	537.01	537.01	
2832	849	817	179	537.07	537.07	
2835	850	817	181	537.06	537.06	
2838	851	813	183	537.06	537.06	
2842	852	815	185	537.04	537.04	
2845	853	816	188	536.89	536.89	
2848	854	818	185	536.87	536.87	
2852	855	816	185	536.86	536.86	
2855	856	818	187	536.85	536.85	
2858	857	817	189	536.84	536.84	
2862	858	819	183	536.83	536.83	
2865	859	811	185	536.81	536.81	
2868	860	817	185	536.82	536.82	
2872	861	816	187	536.79	536.79	
2875	862	817	182	536.78	536.78	
2878	863	816	184	536.78	536.78	
2882	864	815	184	536.76	536.76	
2885	865	815	186	536.76	536.76	
2888	866	818	186	536.74	536.74	
2892	867	818	185	536.78	536.78	
2895	868	815	183	536.78	536.78	
2898	869	815	190	536.72	536.72	
2902	870	816	186	536.71	536.71	
2905	871	816	187	536.71	536.71	
2908	872	813	187	536.70	536.70	
2912	873	818	186	536.80	536.80	
2915	874	817	185	536.81	536.81	
2918	875	818	185	536.79	536.79	
2922	876	817	183	536.80	536.80	
2925	877	818	182	536.85	536.85	
2928	878	816	185	536.74	536.74	
2932	879	819	185	536.76	536.76	
2935	880	816	185	536.78	536.78	
2938	881	821	183	536.75	536.75	
2942	882	825	187	536.69	536.69	
2945	883	821	186	536.76	536.76	
2948	884	824	188	536.68	536.68	
2952	885	819	184	536.68	536.68	
2955	886	819	186	536.70	536.70	
2958	887	819	186	536.69	536.69	
2962	888	820	184	536.69	536.69	
2965	889	819	179	536.69	536.69	
2968	890	818	184	536.67	536.67	
2972	891	817	183	536.68	536.68	
2975	892	816	185	536.72	536.72	
2978	893	818	184	536.64	536.64	
2982	894	815	185	536.64	536.64	
